start,average,max,failed
clasp,3.767170626,8,5
spelt,3.796976242,7,6
scalp,3.812095032,8,6
clang,3.830237581,8,6
flash,3.857451404,7,6
splat,3.745140389,8,7
slept,3.782289417,7,7
clash,3.786177106,9,7
crash,3.819006479,7,7
craft,3.825917927,8,7
crypt,3.827645788,8,7
psalm,3.845788337,8,7
cleft,3.849676026,8,7
imply,3.865658747,8,7
flesh,3.914038877,7,7
slope,3.758531317,8,8
cloth,3.773218143,8,8
plush,3.854427646,8,8
clamp,3.860043197,7,8
scaly,3.865226782,8,8
amply,3.86825054,8,8
clank,3.881641469,8,8
plumb,3.898920086,7,8
welch,3.926565875,9,8
shelf,3.929157667,7,8
swamp,3.944708423,8,8
spasm,4.035421166,8,8
split,3.730885529,8,9
palsy,3.793088553,8,9
spoil,3.795680346,9,9
smelt,3.802591793,8,9
basil,3.819438445,8,9
grasp,3.828077754,8,9
gland,3.837149028,9,9
ralph,3.837149028,9,9
prowl,3.861771058,9,9
spend,3.878617711,8,9
scamp,3.885097192,8,9
flown,3.904103672,8,9
mulch,3.907991361,7,9
block,3.910151188,8,9
spool,3.91663067,9,9
repel,3.94600432,8,9
spilt,3.752483801,9,10
tramp,3.757235421,8,10
blast,3.787904968,8,10
frost,3.790928726,9,10
blond,3.801727862,8,10
scrap,3.804319654,9,10
stamp,3.825485961,8,10
pansy,3.845356371,8,10
trawl,3.853563715,8,10
candy,3.870410367,9,10
gulch,3.889416847,9,10
belch,3.896328294,8,10
sloop,3.899784017,9,10
scrum,3.900647948,9,10
clump,3.938660907,7,10
canal,3.945140389,8,10
black,3.955075594,8,10
whelp,3.976241901,8,10
sleep,3.986609071,8,10
basal,3.990064795,8,10
trash,3.742980562,8,11
stole,3.761555076,8,11
plant,3.763714903,8,11
chase,3.771490281,8,11
paler,3.774082073,9,11
spare,3.781425486,8,11
modal,3.781857451,9,11
crept,3.790064795,8,11
scour,3.799568035,8,11
spurt,3.801295896,9,11
tipsy,3.801727862,8,11
trump,3.817278618,8,11
stalk,3.818574514,8,11
croup,3.81987041,8,11
bluer,3.825053996,8,11
dutch,3.831965443,8,11
sharp,3.833693305,9,11
depth,3.847948164,8,11
badly,3.859179266,8,11
bland,3.860043197,8,11
scald,3.866522678,8,11
crawl,3.873434125,9,11
spark,3.889848812,8,11
crush,3.895464363,8,11
scowl,3.898056156,8,11
blown,3.899352052,8,11
shawl,3.909719222,8,11
flock,3.912311015,8,11
spill,3.933909287,9,11
nymph,3.953779698,8,11
plump,4.010367171,8,11
bleep,4.044924406,8,11
stale,3.723974082,8,12
lapse,3.733909287,9,12
coral,3.738228942,8,12
polar,3.738228942,9,12
close,3.750323974,8,12
plait,3.766306695,9,12
pilot,3.77062635,9,12
penal,3.781857451,8,12
tumor,3.782289417,8,12
caper,3.78488121,8,12
shalt,3.791792657,8,12
copse,3.794816415,8,12
patsy,3.801727862,8,12
nomad,3.801727862,8,12
scope,3.80475162,8,12
sloth,3.805615551,8,12
storm,3.806911447,8,12
spear,3.80950324,8,12
crust,3.811663067,8,12
clued,3.815550756,9,12
prong,3.820302376,8,12
model,3.822894168,8,12
smote,3.82462203,8,12
crisp,3.82937365,9,12
spiny,3.835421166,9,12
north,3.837149028,8,12
pedal,3.844492441,8,12
plead,3.846652268,8,12
raspy,3.847948164,9,12
manly,3.84924406,8,12
ranch,3.850971922,8,12
pasty,3.854427646,8,12
perch,3.855291577,8,12
scold,3.856155508,8,12
spray,3.856155508,9,12
worst,3.857883369,8,12
brash,3.859611231,7,12
poser,3.861339093,8,12
lumpy,3.862203024,8,12
plunk,3.882073434,8,12
froth,3.88336933,8,12
scrub,3.89762419,9,12
forth,3.901511879,8,12
dumpy,3.906695464,7,12
swarm,3.909719222,8,12
bylaw,3.918790497,8,12
crump,3.922678186,8,12
comfy,3.922678186,8,12
crumb,3.943412527,7,12
fancy,3.961555076,8,12
creep,3.964578834,9,12
flack,3.987473002,8,12
pluck,3.988336933,8,12
folly,4.001727862,8,12
slate,3.682937365,8,13
crate,3.687257019,8,13
trace,3.693304536,8,13
cater,3.738660907,9,13
tapir,3.748164147,9,13
sonar,3.754643629,8,13
carol,3.755075594,9,13
spiel,3.755507559,9,13
plier,3.76112311,9,13
caste,3.768466523,8,13
crest,3.769762419,9,13
party,3.771490281,8,13
strap,3.773650108,9,13
plate,3.774082073,9,13
satyr,3.774946004,8,13
sadly,3.779697624,8,13
short,3.786609071,8,13
prose,3.79049676,8,13
slang,3.798272138,8,13
spore,3.799568035,8,13
glade,3.800863931,9,13
shade,3.808207343,8,13
blade,3.813822894,8,13
brunt,3.81511879,8,13
tuber,3.818142549,8,13
stomp,3.819438445,8,13
broth,3.819438445,9,13
wrist,3.825485961,8,13
thorn,3.825917927,8,13
slimy,3.828077754,8,13
claim,3.834989201,9,13
stoic,3.837580994,8,13
clown,3.845788337,8,13
crowd,3.847516199,9,13
shame,3.84924406,8,13
scram,3.84924406,8,13
syrup,3.852699784,9,13
harpy,3.853563715,9,13
bonus,3.85399568,8,13
tempo,3.85399568,8,13
spoke,3.8587473,7,13
dimly,3.859611231,8,13
amble,3.866522678,8,13
madly,3.869978402,8,13
fecal,3.878617711,9,13
prawn,3.879049676,8,13
filth,3.879049676,8,13
ghost,3.879049676,9,13
spurn,3.8825054,9,13
lunch,3.887688985,8,13
gleam,3.88812095,8,13
chirp,3.890280778,9,13
rumba,3.890712743,8,13
threw,3.897192225,8,13
handy,3.898920086,9,13
graph,3.899784017,9,13
child,3.900215983,9,13
shaft,3.903671706,8,13
brown,3.905399568,8,13
climb,3.910151188,9,13
musty,3.910583153,8,13
drawl,3.916198704,8,13
chasm,3.922678186,7,13
pudgy,3.923542117,9,13
blank,3.923974082,8,13
spicy,3.924406048,10,13
lefty,3.933045356,8,13
crepe,3.947300216,8,13
bunch,3.95637149,8,13
femur,3.971058315,9,13
floss,3.987041037,8,13
smell,4.006911447,8,13
jumpy,4.050539957,8,13
speed,4.051403888,8,13
bless,4.069978402,8,13
table,3.735637149,8,14
plane,3.741684665,9,14
sport,3.748164147,9,14
prone,3.760691145,8,14
steal,3.77062635,9,14
pleat,3.774946004,9,14
FALSE,3.777105832,8,14
parse,3.779265659,8,14
haste,3.780561555,8,14
front,3.780993521,9,14
motel,3.782721382,8,14
tamer,3.785313175,9,14
lathe,3.786177106,8,14
petal,3.791360691,9,14
pulse,3.795680346,9,14
slide,3.798704104,8,14
blame,3.803455724,8,14
randy,3.80475162,8,14
draft,3.806047516,9,14
adopt,3.807775378,9,14
rifle,3.811663067,8,14
rapid,3.812526998,9,14
clean,3.816846652,8,14
recap,3.817710583,8,14
plain,3.818142549,8,14
cloud,3.822462203,9,14
solid,3.822894168,8,14
spied,3.822894168,8,14
fetal,3.825917927,8,14
aptly,3.826349892,8,14
wrath,3.831965443,8,14
truly,3.832829374,8,14
blind,3.833261339,8,14
marsh,3.834989201,8,14
sandy,3.835421166,8,14
blurt,3.835853132,8,14
crude,3.837149028,8,14
lousy,3.842764579,8,14
focal,3.847084233,8,14
album,3.847516199,8,14
pound,3.847516199,9,14
peach,3.84838013,8,14
vapor,3.849676026,8,14
flour,3.849676026,8,14
burst,3.852267819,8,14
medal,3.857019438,8,14
erupt,3.862634989,9,14
thrum,3.86349892,8,14
adept,3.863930886,8,14
doubt,3.864362851,8,14
demon,3.864794816,8,14
lemur,3.87775378,8,14
slump,3.888984881,8,14
chafe,3.889416847,8,14
blend,3.889848812,8,14
befit,3.890280778,8,14
drawn,3.890712743,8,14
flask,3.896760259,8,14
prank,3.898056156,8,14
beach,3.900647948,8,14
chord,3.903239741,9,14
beady,3.905399568,9,14
dwelt,3.91187905,8,14
ditch,3.912742981,10,14
sperm,3.914038877,8,14
flung,3.917062635,8,14
lower,3.917926566,8,14
basic,3.919222462,8,14
filmy,3.923974082,8,14
screw,3.923974082,8,14
mangy,3.926565875,8,14
truck,3.929589633,8,14
swept,3.934341253,8,14
bused,3.940388769,8,14
salad,3.943412527,8,14
flunk,3.94600432,8,14
fetch,3.968898488,8,14
leper,3.969762419,9,14
cheer,3.982289417,8,14
small,3.984017279,9,14
patty,3.987041037,10,14
thump,3.989632829,9,14
putty,4.012958963,8,14
sheep,4.01511879,9,14
spoof,4.019438445,9,14
smock,4.028941685,8,14
cabal,4.035421166,8,14
pygmy,4.1174946,9,14
least,3.715334773,9,15
scale,3.740388769,9,15
trope,3.746436285,9,15
